index;tipo1;nombre_barra;Zona;clave_ds;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
$C$439;L;DOMEYKO_______220;NORTE;$C$439;-16583,4520871354;-15253,2509543737;-15314,7157289742;-16019,3528367693;-16310,5123346252;-15903,2628005024;-16869,7579975103;-16054,5381844478;-16513,0129351188;-16172,0053235712;-15082,3810934756;-14032,7884732762;-14054,9905556248;-13644,4631688875;-12423,1208886634;-13192,1843671849;-13509,0562967355;-13430,8344944457;-13803,8463332163;-13296,6750893481;-13985,599405812;-14663,5263263418;-14565,5138909155;-14546,9275125221
$C$508;L;DOMEYKO_______220;NORTE;$C$508;-37597,464835594;-45720,1809528004;-32241,7848655291;-26292,6798314109;-45835,6734644445;-48540,3726113059;-49036,0094646756;-49835,6226493582;-49906,9844698608;-52844,1981572136;-50712,1615147283;-46597,8059709735;-51154,2199244954;-48293,1618392414;-48413,9778966982;-48940,6312297384;-49931,4049807502;-51362,8746979515;-52192,7972055807;-49414,7508014014;-47486,0861804864;-50125,6469708415;-50743,8440897299;-47924,22295968
00119300000RA;L;ALTONORTE_____110;NORTE;00119300000RA;-45200,4048077355;-45914,3743047962;-45663,2998752582;-45744,7394626121;-45895,3961057666;-45596,36593074;-46184,5956701415;-45651,9248560637;-44799,4605824015;-45144,4294489221;-44807,603029077;-45118,1367893198;-44977,6247888757;-44972,0796272607;-40302,7950089201;-36341,5421737382;-38245,4769101854;-44083,8265912554;-40760,7813365053;-34729,8891616812;-33661,0691441517;-42692,4500875367;-44376,732109402;-44302,1853291622
00300603000RCA;R;ANTOFAGASTA___013;NORTE_DX;00300603000RCA;-8087,5;-7412,974;-7065,304;-6893,552;-5578,6;-6879,18;-7515,311;-6689,669;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-7835,891
00300603000RCB;R;ANTOFAGASTA___013;NORTE_DX;00300603000RCB;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-6665,435;-8696,629;-8867,24;-9129,04;-9146,572;-8960,296;-9073,103;-8918,417;-8823,135;-7741,989;0,0;0,0;0,0;0,0;0,0;0,0
00300603000RCC;R;ANTOFAGASTA___013;NORTE_DX;00300603000RCC;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-6223,346;-7398,383;-7575,546;-7174,605;-6593,61;0,0
00319500000IF;L;ANTOFAGASTA___013;NORTE;00319500000IF;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
00319503000RC;L;ANTOFAGASTA___013;NORTE;00319503000RC;-1108,106;-1018,73;-1020,962;-1007,3;-1008,955;-982,861;-987,399;-1076,756;-1369,063;-1797,021;-2244,621;-2479,552;-2592,552;-2654,403;-2675,56;-2700,059;-2700,77;-2732,245;-2634,877;-2466,369;-1947,043;-1571,53;-1395,532;-1332,131
00600100127RA;L;ARICA_________066;NORTE;00600100127RA;-110,723993903412;-109,67532718924;-109,383369274637;-109,600584867316;-109,515640998159;-109,514406573235;-109,697785147579;-109,749121042803;-109,610260402782;-109,774890492446;-110,125528565911;-110,040054022552;-109,868014962621;-109,819632925317;-109,799703725818;-109,845355472038;-110,002781151441;-109,92211679649;-109,599206746193;-110,370699821683;-110,38387957702;-110,348572165744;-110,456210396479;-110,310584166335
00600100128RA;L;CHAPIQUIÑA____013;NORTE;00600100128RA;-258,087;-239,924;-235,359;-226,564;-231,224;-233,116;-250,872;-258,659;-256,868;-252,18;-258,419;-267,513;-246,45;-239,764;-230,982;-227,415;-218,601;-222,054;-269,241;-350,898;-363,03;-362,141;-327,099;-292,144
